"","DATE","ATM1","ATM2","ATM3","ATM4"
"228",40161,84,100,0,124.958720924079
"229",40162,118,73,0,230.148897436632
"230",40163,68,22,0,19.0084532418081
"231",40164,14,9,0,128.638639893298
"232",40165,90,117,0,327.965320783926
"233",40166,92,44,0,532.245673104081
"234",40167,93,44,0,877.397771522905
"235",40168,85,78,0,662.112868890277
"236",40169,93,89,0,300.629002275054
"237",40170,70,33,0,667.628260827946
"238",40171,13,5,0,14.5733216451501
"239",40172,90,102,0,660.355295523878
"240",40173,91,68,0,510.988822551862
"241",40174,102,64,0,164.462090996127
"242",40175,97,81,0,748.172761776163
"243",40176,42,9,0,174.24140491357
"244",40177,2,2,0,20.1927246146696
"245",40178,14,2,0,100.686542796811
"246",40179,132,117,0,985.956884094055
"247",40180,108,56,0,597.058059637518
"248",40181,120,55,0,468.457249728737
"249",40182,120,112,0,856.581157617868
"250",40183,90,100,0,684.77426071096
"251",40184,48,17,0,381.562058400846
"252",40185,15,7,0,152.092361988565
"253",40186,86,49,0,271.934401700032
"254",40187,109,96,0,135.499644668524
"255",40188,115,47,0,1105.01859459692
"256",40189,123,107,0,291.765790221834
"257",40190,123,93,0,1141.42665533123
"258",40191,60,27,0,140.502719995165
"259",40192,22,9,0,8.7815283658262
"260",40193,81,78,0,85.2601147222755
"261",40194,98,47,0,66.6559325537191
"262",40195,94,31,0,709.93856816282
"263",40196,76,91,0,567.549589891424
"264",40197,96,77,0,486.824572151943
"265",40198,72,22,0,17.4812378452732
"266",40199,12,1,0,49.2081120684537
"267",40200,91,125,0,357.233560971277
"268",40201,74,53,0,179.888632199886
"269",40202,104,37,0,728.992926153069
"270",40203,74,69,0,261.121739928252
"271",40204,91,69,0,628.86304697333
"272",40205,66,16,0,277.044814971986
"273",40206,28,2,0,41.4754868680502
"274",40207,152,95,0,1574.7793299617
"275",40208,97,45,0,669.707652917041
"276",40209,100,61,0,979.675944042052
"277",40210,85,71,0,426.40600820829
"278",40211,123,91,0,153.242691843242
"279",40212,46,28,0,274.949921195619
"280",40213,38,9,0,136.2763575951
"281",40214,138,97,0,454.416949720665
"282",40215,74,60,0,458.304270125055
"283",40216,85,27,0,112.030627909989
"284",40217,78,74,0,417.912275798151
"285",40218,123,45,0,10919.761637704
"286",40219,50,26,0,42.4380779193944
"287",40220,28,2,0,280.043427058093
"288",40221,105,73,0,412.31888065844
"289",40222,109,48,0,852.837415561515
"290",40223,26,9,0,179.702083918353
"291",40224,54,25,0,226.047368152384
"292",40225,105,58,0,989.195610317924
"293",40226,179,110,0,824.916780609469
"294",40227,125,94,0,966.610560586021
"295",40228,84,25,0,734.220166781831
"296",40229,99,101,0,121.332621904179
"297",40230,110,77,0,287.931828593555
"298",40231,80,6,0,502.748346369994
"299",40232,1,3,0,9.75277554328113
"300",40233,111,99,0,258.138869179529
"301",40234,115,86,0,1170.28822791725
"302",40235,108,20,0,193.079004294463
"303",40236,100,72,0,402.770394800606
"304",40237,152,81,0,1275.96816677297
"305",40238,90,16,0,819.881512083889
"306",40239,4,2,0,26.3926149187391
"307",40240,128,110,0,893.88450708737
"308",40241,87,75,0,360.641556635615
"309",40242,84,35,0,859.899389422705
"310",40243,69,102,0,381.473088874741
"311",40244,112,100,0,9.71120539780378
"312",40245,62,9,0,601.016952508731
"313",40246,4,2,0,32.4549583048951
"314",40247,94,100,0,553.395793427255
"315",40248,102,85,0,572.374701982563
"316",40249,98,33,0,218.831558168772
"317",40250,88,24,0,828.326827481276
"318",40251,123,111,0,630.762176251373
"319",40252,55,5,0,339.418303855107
"320",40253,4,1,0,31.5022100098324
"321",40254,92,106,0,486.679944269266
"322",40255,88,102,0,335.363138188347
"323",40256,92,25,0,340.008594626007
"324",40257,92,64,0,291.282267438965
"325",40258,117,78,0,46.0294105158321
"326",40259,73,5,0,201.403616072321
"327",40260,3,1,0,9.55830050948921
"328",40261,85,83,0,877.966102962036
"329",40262,88,78,0,778.110790866159
"330",40263,76,66,0,707.613493721525
"331",40264,93,15,0,351.457834764422
"332",40265,116,64,0,711.049106751968
"333",40266,68,3,0,502.518192001434
"334",40267,19,0,0,23.3375687383967
"335",40268,127,102,0,492.909935671497
"336",40269,93,99,0,405.312584145249
"337",40270,97,41,0,818.394331249485
"338",40271,102,79,0,152.270800407043
"339",40272,109,71,0,281.113528121518
"340",40273,68,9,0,470.425772062531
"341",40274,4,2,0,2.50731690040638
"342",40275,105,103,0,414.741223167027
"343",40276,79,67,0,719.426782715821
"344",40277,90,85,0,811.716824956379
"345",40278,87,78,0,889.584209085954
"346",40279,92,67,0,616.127546873357
"347",40280,63,12,0,61.1443542966714
"348",40281,3,1,0,27.3256714386589
"349",40282,103,97,0,767.77815338759
"350",40283,80,106,0,326.084092777159
"351",40284,80,74,0,825.197816271431
"352",40285,84,86,0,383.815024779004
"353",40286,81,55,0,195.483453801715
"354",40287,88,13,0,711.164653124728
"355",40288,3,1,0,29.8690113905627
"356",40289,100,100,0,556.792330315896
"357",40290,69,103,0,386.175334506661
"358",40291,85,44,0,165.294180864632
"359",40292,85,61,0,5.45181460094306
"360",40293,109,89,0,542.280602488628
"361",40294,74,11,0,403.839336030859
"362",40295,4,2,0,13.6973309283063
"363",40296,96,107,96,348.201060757756
"364",40297,82,89,82,44.2453453817764
"365",40298,85,90,85,482.287106882489
